	Estimate	p-value
ZCRB1	-0.42758479430526714	0.0
MBNL1	-0.2865989976000577	0.0
AKAP1	0.5901732783923204	0.0
ESRP2	0.03136967870827511	0.0
CELF2	-0.15623778057500196	0.0
QKI	-0.5090705621084745	0.0
RBMS1	0.2502564259996592	0.0
MSI1	-0.12608238526548693	0.0
CFTR	0.16266242473319772	0.0
XPO5	-0.1445010860353783	0.0
ESRP1	0.22402447574701678	0.0
HNRNPA0	-0.38129004471014655	0.0
OAS1	-0.04814796857238965	0.0
RBM24	0.1405187133864522	0.0
YBX2	0.03158782061956484	0.0
CSTF2	0.1478761847833173	0.0
RBM38	-0.11592015608300177	0.0
NOVA1	-0.4327969141030794	0.0
(Intercept)	1.702067603215299	0.0
