	Estimate	p-value
SRP68	1.491383045165013	0.0
RBM5	-1.124382620669902	0.0
ZFP36	0.2214559851520361	0.0
CPEB1	0.38148474640418795	0.0
TIA1	-0.26995847779727256	0.0
PUM2	-0.19777931280729533	0.0
EIF4A3	0.6920580201952995	0.0
ESRP2	-0.1924894780801798	0.0
IFIH1	-0.3134873731833826	0.0
MSI1	0.04790074843666203	0.0
GRN	0.4099111319628013	0.0
CFTR	0.6213941338778272	0.0
G3BP2	0.536592030621877	0.0
ACO1	-0.23465131791074695	0.0
SRSF5	-0.43008902061463583	0.0
SRSF9	-0.39301924991920856	0.0
SRSF10	0.30756480067352654	0.0
SAMD4A	0.20484388484112628	0.0
RBM6	0.9874213182165545	0.0
RAVER1	0.9167139092057857	0.0
TRA2A	-0.2509690718845058	0.0
RBM25	0.2022326813241865	0.0
SRSF7	-1.2644486299179591	0.0
RBM24	-0.10540838019186877	0.0
YBX2	0.6319197985026698	0.0
ZNF638	-0.2387900004814687	0.0
SRSF6	-1.9439264670474812	0.0
KHDRBS1	0.7343604859244699	0.0
CMTR1	0.03698168217734665	0.0
(Intercept)	-1.2775541034117994	0.0
