	Estimate	p-value
PPIE	0.1433433815017412	0.0
RBM5	0.4680732248120888	0.0
ZFP36	0.08664719399894072	0.0
SNRNP70	-0.07007038268243937	0.0
DHX58	-0.07208439543439162	0.0
SRP19	-0.36656035068901793	0.0
MBNL1	-0.23278753683027212	0.0
AKAP1	0.3657586917586344	0.0
PUM2	0.3619547618659049	0.0
ESRP2	0.04678342366994312	0.0
CELF2	-0.1708488112950829	0.0
QKI	-0.25953806813699376	0.0
RBMS1	-0.5013277415554318	0.0
PCBP1	-0.4290966766417502	0.0
GRN	-0.08756794633004568	0.0
MSI1	0.07169735118913546	0.0
ACO1	-0.026799945210476114	0.0
SNRPA	0.2108931384738209	0.0
IGF2BP2	0.1169034876607442	0.0
YBX1	-0.37527322011884234	0.0
SRSF9	0.6960521180489235	0.0
ESRP1	0.8621420647605821	0.0
RBMX	0.005763024531846458	0.0
RBMS3	-0.03572972618161108	0.0
PUM1	0.43366228780821103	0.0
OAS1	-0.05309782522312326	0.0
FMR1	0.1885674295878773	0.0
HNRNPAB	0.11279420404017675	0.0
FUS	0.26340154676532174	0.0
ZNF638	0.21623005982564553	0.0
SRSF6	0.17053739470266494	0.0
RBM38	-0.018525317395663113	0.0
HNRNPH1	-0.041270919273373924	0.0
(Intercept)	-7.970487075303101	0.0
