	Estimate	p-value
PCBP2	-0.1994452335253923	0.0
NELFE	-0.20317495746671965	0.0
SRSF3	0.4001658982780448	0.0
ZFP36	0.22745601998972967	0.0
SNRNP70	0.5788975190603756	0.0
ZFP36L2	-1.5250268058600023	0.0
DAZAP1	-1.4866313318605249	0.0
SRP19	-1.3411287857843437	0.0
HNRNPM	-0.5176382254027607	0.0
ESRP2	-0.6402467459778591	0.0
RBM42	0.6843159321488285	0.0
IFIH1	-2.0521385124697646	0.0
TRA2B	-7.510803889097005	0.0
CPEB4	3.8328981426852127	0.0
IGF2BP2	-0.4142171362599263	0.0
SNRPA	1.947065492191483	0.0
DDX58	-0.04133803706681943	0.0
CPEB2	-1.287218832025046	0.0
RBFOX2	-0.3829511044627669	0.0
ESRP1	0.42221082700768736	0.0
SNRPB2	0.782606101593697	0.0
SAMD4A	0.08442839207004361	0.0
RBMS3	-0.04991044797995023	0.0
RBM25	2.008576625809658	0.0
RALY	-1.2596849643516264	0.0
OAS1	1.1134847622663004	0.0
CELF5	-1.9915781964529118	0.0
KHDRBS1	1.2547742386377747	0.0
RBM38	0.4779802282780523	0.0
NOVA1	-1.9667208413793722	0.0
ADAR	2.9923147933933527	0.0
HNRNPD	5.032160990684772	0.0
RBM3	-2.2191051247076703	0.0
(Intercept)	-13.558809411624123	0.0
