	Estimate	p-value
NELFE	-0.07020748094735758	0.0
AGO1	-0.24364723952137848	0.0
SRP68	0.09318195911564589	0.0
DHX58	0.015105136860800505	0.0
CELF2	-0.17083933689033248	0.0
HNRNPU	0.23096745642830238	0.0
RBMS1	0.049500271499913095	0.0
HNRNPA1	0.12621160485621455	0.0
PCBP1	0.011661296876931848	0.0
QKI	-0.5020558011738443	0.0
G3BP2	0.38297898812173636	0.0
CPEB4	-0.5007056484293197	0.0
IGF2BP2	0.06790334032993645	0.0
SF3B4	-0.08811440779101276	0.0
SF3B1	-0.1313707177913614	0.0
U2AF2	-0.08679316309409152	0.0
RBFOX2	-0.30582241968278817	0.0
XPO5	-0.12334680293174113	0.0
SRSF2	-0.29734062088484053	0.0
SAMD4A	0.29335935818596703	0.0
RALY	-0.17175868281410245	0.0
YBX2	0.1470291116367377	0.0
HNRNPH2	-0.15615269795232395	0.0
TUT1	-0.01878893936727685	0.0
FXR1	0.1903791748083894	0.0
HNRNPH1	0.15769653663995076	0.0
ERI1	0.11746708975009518	0.0
HNRNPD	-0.0697192991689134	0.0
SP1	-0.5556469126665825	0.0
PCBP2	-0.10255137318705662	0.0
SRP14	0.082880214545788	0.0
CPEB1	-0.32846103805116905	0.0
TIA1	-0.3063725092145816	0.0
ZFP36L2	0.03315205138801537	0.0
PABPC1	-0.39091550906219463	0.0
RBM8A	-0.020724436079624473	0.0
ESRP2	0.3194735180510062	0.0
AGO2	-0.06404350165692249	0.0
FXR2	-0.12175032957155865	0.0
RBM42	-0.01352942759733404	0.0
SRSF11	0.205440613106962	0.0
GRN	0.207329689818871	0.0
CELF4	0.22584227453858768	0.0
YTHDC1	-0.3632817264638037	0.0
ACO1	-0.06858098741906855	0.0
HNRNPF	0.08648966033481534	0.0
SRSF5	-0.003396124693692479	0.0
SART3	0.3600109384738656	0.0
SRP54	-0.1850802946003869	0.0
SNRPB2	-0.22584638845317415	0.0
RBMX	0.15423816241844854	0.0
SRSF4	-0.21686921210421306	0.0
RC3H1	0.25343427394067874	0.0
SUPV3L1	-0.16420654530106368	0.0
OAS1	-0.10041979483047143	0.0
DHX9	0.3591822306358891	0.0
CELF1	0.0880707017506727	0.0
CELF5	-0.29894118802041036	0.0
ZNF638	0.1909222581189145	0.0
RBM38	-0.16563002421810918	0.0
ADAR	-0.2560786292670904	0.0
ELAVL1	0.40130859909389527	0.0
PPIE	0.16298814863731245	0.0
KHSRP	-0.5673339452198886	0.0
RBM5	-0.19597761058390611	0.0
ZCRB1	-0.1196066955605462	0.0
DAZAP1	-0.041928291889322164	0.0
SRP19	0.321641935954118	0.0
MBNL1	-0.03439953329034273	0.0
EIF4A3	0.10625728843436294	0.0
CNOT4	0.1502104307653966	0.0
HNRNPA2B1	-0.22644538238788553	0.0
MSI1	-0.13317928087691053	0.0
SNRPA	0.15721652180762202	0.0
ESRP1	0.6899203947217484	0.0
HNRNPA0	-0.2676395876894341	0.0
HNRNPK	0.7375472973012891	0.0
RBM6	0.14377393751897954	0.0
TRA2A	0.39938161345183515	0.0
SRSF7	0.09944384604489001	0.0
PHAX	-0.399677037098893	0.0
SF1	-0.1505882971983534	0.0
RBM24	-0.12368881296832075	0.0
FMR1	0.4544845950897669	0.0
PABPC4	-0.24239660362027377	0.0
SRRM1	0.17239509154140378	0.0
GRSF1	-0.017635293323506745	0.0
SRSF6	-0.1856738044000001	0.0
KHDRBS3	-0.10039310857295297	0.0
NOVA1	0.08494025008777402	0.0
SRSF1	-0.7187583565564256	0.0
CMTR1	-0.10842813438001017	0.0
HNRNPLL	-0.12117322009792925	0.0
SRSF3	-0.41818600457286875	0.0
HNRNPL	-0.28720743420303907	0.0
ZFP36	0.05093162603249417	0.0
NXF1	-0.06275561697950971	0.0
SNRNP70	-0.06423425212995959	0.0
NCL	-0.46099342022804873	0.0
NONO	0.22523241836563546	0.0
AKAP1	0.3592537904799143	0.0
SFPQ	0.30721983436216344	0.0
PUM2	-0.33018363085151814	0.0
IFIH1	-0.021954285959997627	0.0
CFTR	0.20072925358773125	0.0
G3BP1	0.03847134033643505	0.0
EIF4B	0.42681992410212977	0.0
DDX58	0.25184998581401996	0.0
CPEB2	0.006973978949386547	0.0
SYNCRIP	0.651534330855869	0.0
HNRNPC	-0.34508754642683914	0.0
YBX1	0.1422967926345536	0.0
SRSF9	0.01831955845186317	0.0
RAVER1	0.21059041782188603	0.0
NOVA2	-0.2140173788227514	0.0
PUM1	0.26859896231543157	0.0
SSB	0.24487558695353737	0.0
HNRNPH3	-0.2967940513513922	0.0
TIAL1	-0.0770018328547	0.0
RBM14	-0.27791195087422427	0.0
FUS	-0.06609750317001596	0.0
PABPN1	0.303714693463138	0.0
PPRC1	0.14484166428311518	0.0
RBM3	-0.06727853895472466	0.0
ZRANB2	0.13287467682338572	0.0
(Intercept)	3.5205242526991323	0.0
