	Estimate	p-value
AGO1	0.8539077494201804	0.0
SRP68	0.4837137325714563	0.0
DHX58	-0.6983747006496567	0.0
CELF2	0.313519388026819	0.0
HNRNPU	1.0002287526374178	0.0
RBMS1	-0.19090132005434707	0.0
HNRNPA1	1.4997174705551855	0.0
QKI	1.2570025028542333	0.0
G3BP2	-0.7498612471808319	0.0
CPEB4	-0.8023519783284984	0.0
IGF2BP2	-0.07792482142631404	0.0
SF3B4	-0.6749410277690298	0.0
SF3B1	-1.2500631365341164	0.0
U2AF2	1.1244382012822949	0.0
RBFOX2	-0.4679936704666833	0.0
XPO5	-0.32705092461003327	0.0
SAMD4A	-0.045299015674573506	0.0
YBX2	-0.4266003928432871	0.0
TUT1	-0.18305217138147084	0.0
HNRNPH1	0.606773587760572	0.0
HNRNPD	0.2695413698275733	0.0
ERI1	0.21717965249822369	0.0
SP1	1.678912960426238	0.0
PCBP2	0.6240891840282141	0.0
SRP14	0.17972811636821895	0.0
TIA1	-0.17846864844922217	0.0
HNRNPA3	1.0412268645799692	0.0
PABPC1	0.3869104674943743	0.0
RBM8A	0.4361117744124895	0.0
HNRNPM	0.5651772381764675	0.0
ESRP2	0.7156427401991492	0.0
AGO2	0.1350643100677935	0.0
SRSF11	-0.26669553685017844	0.0
RBM42	0.011967082568910326	0.0
GRN	-0.10657726821188573	0.0
CELF4	-0.3978701112536034	0.0
IGHMBP2	0.8272675693482889	0.0
SART3	-1.5750378115977834	0.0
SRP54	0.8843161163598231	0.0
SNRPB2	0.005084610768140929	0.0
SRSF4	-1.3211697550402326	0.0
RC3H1	1.1348691807101685	0.0
OAS1	-0.461281200703991	0.0
DHX9	1.0655110146093176	0.0
CELF1	-0.8530482593080788	0.0
HNRNPAB	0.26823179311827267	0.0
ZNF638	0.799881895352717	0.0
RBM38	0.12806167458665307	0.0
ADAR	-0.5649061200318951	0.0
ELAVL1	-0.4755309947741243	0.0
PPIE	-0.3007070503702494	0.0
ZCRB1	-0.37756532407993193	0.0
DAZAP1	-1.1424358918944508	0.0
CNOT4	-1.7742211131172556	0.0
HNRNPA2B1	-1.221322832973854	0.0
MSI1	0.06162765440211473	0.0
DDX19B	-0.40949149237093246	0.0
SNRPA	-0.7373131206232283	0.0
ESRP1	-0.7369274465529709	0.0
HNRNPK	-2.5178577075906983	0.0
RBM6	0.8179302807902606	0.0
RBMS3	-0.137788516689759	0.0
TRA2A	-0.1527508543444251	0.0
SRSF7	-1.0656960765132926	0.0
RBM24	-0.4915668145183789	0.0
PTBP1	0.8806398750671351	0.0
FMR1	0.6347140423316233	0.0
PABPC4	0.4522868068053209	0.0
SRRM1	0.05142548803553405	0.0
GRSF1	-1.1610300164856064	0.0
SRSF6	-0.1472409785699058	0.0
CMTR1	-1.2275436184442416	0.0
SRSF3	-0.11563130493567098	0.0
NXF1	0.2872828724911014	0.0
NCL	0.5881352650879345	0.0
NONO	0.9696334085021641	0.0
AKAP1	0.13521155028614484	0.0
SFPQ	0.08726649198274586	0.0
IFIH1	0.34757802687836936	0.0
CFTR	0.5323903049582035	0.0
G3BP1	0.6859461770772795	0.0
EIF4B	-1.0342727908836664	0.0
DDX58	1.2575654091659516	0.0
CPEB2	0.6544222392972774	0.0
SYNCRIP	-1.461455562799899	0.0
HNRNPC	1.7916644441380587	0.0
YBX1	0.647168112377323	0.0
SRSF9	0.6643185121511043	0.0
RAVER1	0.24323874815471624	0.0
RBM25	-1.4693124092069796	0.0
HNRNPDL	-0.4662729062005875	0.0
SSB	-0.03779679757751453	0.0
TIAL1	1.0515411773278664	0.0
RBM14	-2.367042142073459	0.0
FUS	-0.8585551982798728	0.0
PPRC1	0.16684002830003294	0.0
RBM3	-0.8227272949879805	0.0
(Intercept)	1.9976462999012323	0.0
