	Estimate	p-value
NELFE	-0.4925548831499614	0.0
AGO1	0.11063197357259734	0.0
SRP14	-0.6879675831794824	0.0
KHSRP	-0.10328094002024167	0.0
RBM5	0.02528746943812532	0.0
ZFP36	0.14478453483954368	0.0
CPEB1	0.4450591536153433	0.0
TIA1	-0.004779847935029113	0.0
NCL	-0.1896715313202602	0.0
DHX58	-0.6816750439550998	0.0
SRP19	0.3828117593961585	0.0
NONO	0.22463625734536885	0.0
AKAP1	-0.42998874567359446	0.0
SFPQ	-0.1126397816963493	0.0
CNOT4	-1.0693062182314217	0.0
RBM8A	-1.0586592323174593	0.0
HNRNPM	1.1112701940845222	0.0
ESRP2	-0.7188715289433735	0.0
CELF2	0.0010365837811450174	0.0
HNRNPA2B1	-0.36705422365888274	0.0
IFIH1	-0.2820468964781838	0.0
QKI	0.03328964745699685	0.0
RBMS1	0.1409828748106393	0.0
GRN	0.09976203682878529	0.0
MSI1	0.29924085437793435	0.0
ACO1	0.28924334579169997	0.0
CPEB4	0.3780683644822579	0.0
SF3B4	-0.22517158964633138	0.0
TARDBP	-1.5891315049383157	0.0
EIF4B	-0.7311945458603444	0.0
SRSF5	-0.6835963144884272	0.0
IGHMBP2	0.6342928141955564	0.0
CPEB2	-0.1319306929250892	0.0
SYNCRIP	-0.05098827566501557	0.0
SART3	0.9559512368197911	0.0
YBX1	-0.040386869963110694	0.0
SRP54	-0.7819367769431562	0.0
SRSF9	0.9382873017324964	0.0
ESRP1	-0.10768238569081451	0.0
RBMX	-0.8305525290150055	0.0
SAMD4A	-0.003273391073478571	0.0
RBM6	-0.12907982774413906	0.0
RBMS3	0.31535608927086195	0.0
TRA2A	0.3584086501556464	0.0
RAVER1	-1.343431038324199	0.0
RBM25	-0.44305692770767036	0.0
RC3H1	1.012427396483278	0.0
SRSF7	0.811617260312075	0.0
RALY	0.21347758695640434	0.0
OAS1	0.5103466284063143	0.0
PHAX	-0.30261611280047573	0.0
HNRNPDL	0.7368717392554873	0.0
SSB	0.17556625290446992	0.0
HNRNPH3	-0.0844915043500255	0.0
SUPV3L1	-0.343367469591241	0.0
RBM24	-0.18432861896743055	0.0
PTBP1	1.4930516746262241	0.0
YBX2	0.24391840130601122	0.0
HNRNPD	-0.5017663519806095	0.0
PABPC4	0.15025838231442568	0.0
FUS	-0.6143547754185777	0.0
RBM14	0.5090404445088027	0.0
TUT1	-0.495219428086737	0.0
GRSF1	-0.1351324049639926	0.0
SRSF6	0.8469241463932641	0.0
PABPN1	0.8524971888506044	0.0
KHDRBS3	0.06527234260708903	0.0
RBM38	0.10141010158300551	0.0
ADAR	1.057978495869318	0.0
ERI1	0.39355692572391543	0.0
(Intercept)	-3.735966949056379	0.0
