	Estimate	p-value
RBM5	-5.103571566474668	0.0
ZFP36	0.11360273527015807	0.0
NXF1	-9.726831870105332	0.0
CPEB1	3.0417026194398162	0.0
TIA1	-11.364489024676557	0.0
SNRNP70	-0.9432851938471503	0.0
MBNL1	2.9354386727125594	0.0
AKAP1	0.33441661037905923	0.0
PABPC1	-7.589150256224094	0.0
ESRP2	-6.574242925525384	0.0
AGO2	16.868100448221078	0.0
HNRNPU	-6.9164896551746615	0.0
SRSF11	9.225193449843518	0.0
IFIH1	4.496689187132124	0.0
RBMS1	2.1265124593632767	0.0
GRN	-0.12416757996370019	0.0
CELF4	-8.367821907226013	0.0
CFTR	-0.9891358785197589	0.0
TRA2B	-8.456247807192087	0.0
CPEB4	-2.0428262070170167	0.0
EIF4B	0.43458242705054084	0.0
IGHMBP2	-14.030150810987685	0.0
SRSF5	-1.329262992367017	0.0
DDX58	-8.535515879485677	0.0
CPEB2	1.1720623801478824	0.0
SRSF2	-0.06791586499101626	0.0
HNRNPA0	-6.0682446679873445	0.0
RAVER1	-0.6227756624005041	0.0
NOVA2	-4.323995987237405	0.0
RALY	-10.533139789702794	0.0
OAS1	2.974296937464506	0.0
PHAX	1.7962895114487067	0.0
SSB	-10.243243466940761	0.0
DHX9	23.147722455085336	0.0
TIAL1	0.5676040104729168	0.0
FMR1	1.879217568706819	0.0
YBX2	2.4842090944249593	0.0
PABPC4	-1.9351131170656948	0.0
SRRM1	-17.9786967248556	0.0
TUT1	11.243393053637794	0.0
SRSF6	14.327144976407249	0.0
KHDRBS3	-6.480783561246726	0.0
RBM38	0.7555332696680547	0.0
ADAR	-18.821974101314982	0.0
SRSF1	-1.0907394184127805	0.0
NUDT21	-9.200303599881346	0.0
RBM3	4.081650607823117	0.0
ELAVL1	8.29535760004537	0.0
(Intercept)	233.14696862516854	0.0
