	Estimate	p-value
NELFE	-0.13830639513107323	0.0
AGO1	-3.165802829245179	0.0
SRP68	-2.33036205096264	0.0
DHX58	-0.9814771534635698	0.0
CELF2	0.8571672960709673	0.0
QKI	-0.41430104192126915	0.0
HNRNPA1	0.3810612511816361	0.0
PCBP1	-1.0796696535459676	0.0
CPEB4	1.0657711396572285	0.0
IGF2BP2	0.30439640988615324	0.0
SF3B4	0.5257582101817597	0.0
SF3B1	0.7872190163290539	0.0
RBFOX2	1.7097062666021283	0.0
SRSF2	0.95760859048143	0.0
YBX2	0.7037291411747422	0.0
HNRNPH2	1.2767526206905704	0.0
TUT1	1.1782371030773686	0.0
FXR1	-1.428335895798567	0.0
NUDT21	-0.2501146641067164	0.0
ERI1	-0.9057357537090345	0.0
SP1	-0.6394659895142507	0.0
PCBP2	-0.5936824732405878	0.0
CPEB1	-0.2651776812915211	0.0
TIA1	-1.206999983296055	0.0
ZFP36L2	-0.6734107779639029	0.0
RBM8A	1.534999016159769	0.0
HNRNPM	0.23012181639863682	0.0
ESRP2	-0.8617975002997654	0.0
RBM42	0.6601675935959519	0.0
GRN	0.063668276557718	0.0
ACO1	-0.42600486455394376	0.0
HNRNPF	0.6638082434547175	0.0
SRSF5	-0.837637562391627	0.0
SRP54	-0.8311943766032249	0.0
SNRPB2	-1.0568628065792103	0.0
SRSF10	0.9903802456245276	0.0
RC3H1	-2.7113610323339046	0.0
SUPV3L1	2.0048832486867645	0.0
OAS1	0.5398430747861374	0.0
HNRNPAB	-1.5914174658951192	0.0
ZNF638	0.31062746415052567	0.0
KHDRBS1	0.7551095291858189	0.0
ADAR	1.1519362130964952	0.0
ELAVL1	-1.3448100622938566	0.0
RBM5	0.09247723049799905	0.0
ZCRB1	1.0580810819869075	0.0
MBNL1	0.8993423645887043	0.0
SRP19	0.1738040090203017	0.0
CNOT4	-2.5946106441612047	0.0
MSI1	0.3571029815096997	0.0
DDX19B	-0.9060731345103019	0.0
SNRPA	-1.6758380698447053	0.0
TARDBP	-2.0730075275456796	0.0
ESRP1	-0.28132981449659056	0.0
HNRNPA0	-1.6607668591701192	0.0
HNRNPK	0.8147222845876025	0.0
RBM6	-1.2781293684408612	0.0
SRSF7	0.9881081447285069	0.0
RBM24	-0.22826096158972542	0.0
PABPC4	0.08820399495077802	0.0
CSTF2	0.06204426602907476	0.0
SRSF6	2.2401972538142534	0.0
KHDRBS3	0.835529927543047	0.0
NOVA1	-1.4163669256267801	0.0
NXF1	-1.914778268714969	0.0
ZFP36	0.1491404352456076	0.0
SNRNP70	1.6786674258775687	0.0
PUM2	-0.7509907283644475	0.0
AKAP1	0.16444777241682995	0.0
SFPQ	0.5909249250959332	0.0
CFTR	0.037535731130935224	0.0
EIF4B	-1.1894818536702592	0.0
DDX58	-0.5165590526618297	0.0
HNRNPC	0.889158595577054	0.0
YBX1	1.4051853147216755	0.0
RAVER1	0.40258849787870155	0.0
NOVA2	-3.5197479107131304	0.0
PUM1	2.3830807023411538	0.0
RBM14	-0.14622732619368123	0.0
FUS	-0.3247652954191718	0.0
PABPN1	-0.5883024161806674	0.0
PPRC1	0.7615668808163973	0.0
RBM3	-0.5656148564859562	0.0
ZRANB2	-1.2030406477480706	0.0
(Intercept)	3.81118486973985	0.0
