	Estimate	p-value
SRP14	-0.8748265551830988	0.0
KHSRP	-0.04182941720717928	0.0
ZFP36L2	-0.4610076969931377	0.0
DHX58	-0.45900853039621026	0.0
MBNL1	1.0649941718758704	0.0
PUM2	-0.7283349131725643	0.0
AKAP1	-0.36329598841925703	0.0
EIF4A3	1.1469780614664358	0.0
PABPC1	0.18201328631843858	0.0
CNOT4	-1.2557611332535055	0.0
ESRP2	0.0561375138358403	0.0
CELF2	-0.24195581889213993	0.0
RBMS1	-0.19288548557081425	0.0
GRN	0.2306726993059137	0.0
PCBP1	0.45392498777721996	0.0
MSI1	-0.5162719345565522	0.0
DDX19B	-0.6230260933133637	0.0
CFTR	-0.6165536223145271	0.0
G3BP1	-0.30439459443842265	0.0
ACO1	-0.39008381835155265	0.0
SRSF5	-1.3365602528892757	0.0
SART3	1.8541245904546093	0.0
YBX1	-0.15423467585374007	0.0
RBFOX2	-0.601650395156843	0.0
SRSF9	-0.9398395241507363	0.0
SNRPB2	-0.20291840282220133	0.0
RC3H1	0.8110987330479091	0.0
SUPV3L1	-0.5215420959485789	0.0
CELF1	-0.4292029399773811	0.0
PTBP1	-1.7454394038800456	0.0
FMR1	-0.4552907644010563	0.0
CSTF2	-0.39869291688206876	0.0
TUT1	-0.11821132998032448	0.0
PABPN1	0.3665033658752239	0.0
ZNF638	-1.3517754935991053	0.0
SRSF6	-0.3458827241336552	0.0
NOVA1	0.1583276794458293	0.0
(Intercept)	31.019237126532893	0.0
