	Estimate	p-value
SRP68	3.090145050693686	0.0
DHX58	-0.27847840959625425	0.0
CELF2	-0.10230924317831391	0.0
RBMS1	0.3191803903616024	0.0
PCBP1	-0.003300913776626224	0.0
G3BP2	3.226356795457261	0.0
IGF2BP2	0.4711936094658645	0.0
SF3B4	-0.3574333219193677	0.0
XPO5	-0.8348710155143425	0.0
SRSF2	-0.9010110156438009	0.0
SAMD4A	0.6444220821869013	0.0
TUT1	-1.479247414769641	0.0
FXR1	0.959509408425091	0.0
HNRNPH1	0.3187608861466382	0.0
NUDT21	2.4938203646997352	0.0
ERI1	-1.324092319493578	0.0
HNRNPD	3.56241675533754	0.0
SP1	-1.9515068812786782	0.0
CPEB1	2.7467935922449085	0.0
TIA1	0.7559482338138439	0.0
ZFP36L2	-0.42221311221523644	0.0
HNRNPA3	0.9608019941047993	0.0
PABPC1	0.6052026009207876	0.0
RBM8A	1.691726460436462	0.0
HNRNPM	2.325146420185086	0.0
AGO2	-0.7197786261051555	0.0
FXR2	1.5729179405093863	0.0
GRN	-1.1717783115563587	0.0
CELF4	-0.6850361297394715	0.0
TRA2B	-1.8045819660202547	0.0
HNRNPF	-1.316187099611373	0.0
IGHMBP2	0.18684500585357267	0.0
SRSF5	2.022661916484644	0.0
SART3	-0.26842299917387796	0.0
SNRPB2	-0.49405467850397455	0.0
SRSF4	1.6551604637135147	0.0
SUPV3L1	1.994098665929376	0.0
DHX9	-0.9259431626076787	0.0
KHDRBS1	-0.8097220367091114	0.0
RBM38	0.21560874464274593	0.0
PPIE	-0.7933981796989635	0.0
SRP19	-0.5848993734538317	0.0
HNRNPA2B1	1.0842250442964658	0.0
MSI1	0.027297454981670355	0.0
DDX19B	0.2332789800730639	0.0
ESRP1	-0.32727783945457606	0.0
HNRNPA0	0.2803310764436955	0.0
RBM6	0.8376438592614982	0.0
RBMS3	-0.5247627025413006	0.0
SRSF7	0.7248278668344341	0.0
RBM24	-0.5908118206512227	0.0
FMR1	-0.4329962215438087	0.0
PABPC4	1.1508102725544938	0.0
CSTF2	1.7367063643370815	0.0
GRSF1	-1.4942872963589684	0.0
SRSF6	2.779286816309156	0.0
KHDRBS3	-0.5282626727003601	0.0
NOVA1	-0.8874561257692783	0.0
CMTR1	-1.3104807395380311	0.0
HNRNPLL	1.116863294223565	0.0
SRSF3	-0.9634246611370874	0.0
HNRNPL	-0.8725824262454362	0.0
ZFP36	0.7926977233483479	0.0
NCL	-3.457936485987858	0.0
AKAP1	1.5619436936878115	0.0
IFIH1	0.6775332589189835	0.0
CFTR	-0.005364374205802491	0.0
G3BP1	-3.652629108447663	0.0
EIF4B	-0.9230218200329325	0.0
DDX58	0.6166894236915947	0.0
CPEB2	0.8419663782485747	0.0
SYNCRIP	1.5992942960157257	0.0
YBX1	-0.40298484298230125	0.0
SRSF9	-0.13851111321999965	0.0
RAVER1	-0.883742532674934	0.0
NOVA2	-0.8298075505810446	0.0
PUM1	-2.56192688425159	0.0
HNRNPDL	-3.0289896502867166	0.0
HNRNPH3	-0.942112580661495	0.0
TIAL1	-1.4705197549803015	0.0
RBM3	-0.08689631932193365	0.0
(Intercept)	-19.651155237186487	0.0
